ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Interpreted;Lemmatized;Source;Synonyms;GermaNetFunction;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;1;false;false;false;false;false;false;null;0.15810000000000002;0.0;2.1822;0.0;3.5073000000000003;0.0;0.124;0.0;18070.15
ClusterART;Not needed;1;false;false;false;false;true;false;null;0.21200000000000002;0.0;9.861600000000001;0.0;12.6493;0.0;-0.1005;0.0;83289.01
ClusterART;Not needed;1;false;false;false;true;false;false;null;0.17370000000000002;0.0;2.4507000000000003;0.0;3.5653;0.0;0.1164;0.0;19785.96
ClusterART;Not needed;1;false;false;false;true;false;false;OneAncestor;0.15280000000000002;0.0;2.3675;0.0;3.4373;0.0;0.1037;0.0;12477.2
ClusterART;Not needed;1;false;false;false;true;false;false;Shotgun;0.34990000000000004;0.0;18.7818;0.0;37.3607;0.0;-0.0579;0.0;29244.03
ClusterART;Not needed;1;false;false;false;true;false;true;null;0.1713;0.0;2.1157;0.0;3.4329;0.0;0.1467;0.0;14038.97
ClusterART;Not needed;1;false;false;false;true;false;true;OneAncestor;0.1666;0.0;2.1581;0.0;3.4324000000000003;0.0;0.1416;0.0;13987.52
ClusterART;Not needed;1;false;false;false;true;false;true;Shotgun;0.2227;0.0;11.813500000000001;0.0;25.4796;0.0;0.0341;0.0;56410.49
ClusterART;Not needed;1;false;false;false;true;true;false;null;0.1826;0.0;8.9436;0.0;11.2828;0.0;-0.035;0.0;67051.25
ClusterART;Not needed;1;false;false;false;true;true;false;OneAncestor;0.2025;0.0;9.760900000000001;0.0;14.2393;0.0;-0.0251;0.0;57980.23
ClusterART;Not needed;1;false;false;false;true;true;false;Shotgun;0.23040000000000002;0.0;48.5152;0.0;88.5235;0.0;0.003;0.0;29058.62
ClusterART;Not needed;1;false;false;false;true;true;true;null;0.23170000000000002;0.0;9.3103;0.0;12.044;0.0;-0.037700000000000004;0.0;64684.0
ClusterART;Not needed;1;false;false;false;true;true;true;OneAncestor;0.2575;0.0;9.605400000000001;0.0;12.4198;0.0;-0.050100000000000006;0.0;67756.91
ClusterART;Not needed;1;false;false;false;true;true;true;Shotgun;0.2432;0.0;51.682300000000005;0.0;94.3023;0.0;0.0342;0.0;27536.77
ClusterART;Not needed;1;false;false;true;false;false;false;null;0.1763;0.0;2.2213000000000003;0.0;3.4998;0.0;0.1441;0.0;17374.96
ClusterART;Not needed;1;false;false;true;false;true;false;null;0.1763;0.0;2.2213000000000003;0.0;3.4998;0.0;0.1441;0.0;17988.96
ClusterART;Not needed;1;false;false;true;true;false;false;null;0.17500000000000002;0.0;2.4726;0.0;3.5686;0.0;0.108;0.0;17541.28
ClusterART;Not needed;1;false;false;true;true;false;false;OneAncestor;0.1534;0.0;2.3681;0.0;3.4215;0.0;0.0998;0.0;21807.26
ClusterART;Not needed;1;false;false;true;true;false;false;Shotgun;0.34990000000000004;0.0;18.851000000000003;0.0;37.5322;0.0;-0.058100000000000006;0.0;24717.93
ClusterART;Not needed;1;false;false;true;true;false;true;null;0.1713;0.0;2.1158;0.0;3.4329;0.0;0.1467;0.0;17713.78
ClusterART;Not needed;1;false;false;true;true;false;true;OneAncestor;0.1666;0.0;2.1582;0.0;3.4325;0.0;0.1416;0.0;12825.56
ClusterART;Not needed;1;false;false;true;true;false;true;Shotgun;0.2227;0.0;11.842600000000001;0.0;25.5748;0.0;0.034;0.0;37660.34
ClusterART;Not needed;1;false;false;true;true;true;false;null;0.17500000000000002;0.0;2.4726;0.0;3.5686;0.0;0.108;0.0;19520.76
ClusterART;Not needed;1;false;false;true;true;true;false;OneAncestor;0.1534;0.0;2.3681;0.0;3.4215;0.0;0.0998;0.0;13460.59
ClusterART;Not needed;1;false;false;true;true;true;false;Shotgun;0.34990000000000004;0.0;18.851000000000003;0.0;37.5322;0.0;-0.058100000000000006;0.0;22884.88
ClusterART;Not needed;1;false;false;true;true;true;true;null;0.1713;0.0;2.1158;0.0;3.4329;0.0;0.1467;0.0;13757.69
ClusterART;Not needed;1;false;false;true;true;true;true;OneAncestor;0.1666;0.0;2.1582;0.0;3.4325;0.0;0.1416;0.0;12704.61
ClusterART;Not needed;1;false;false;true;true;true;true;Shotgun;0.2227;0.0;11.842600000000001;0.0;25.5748;0.0;0.034;0.0;43543.79
ClusterART;Not needed;1;false;true;false;false;false;false;null;0.1428;0.0;1.0163;0.0;2.5859;0.0;0.2811;0.0;19532.76
ClusterART;Not needed;1;false;true;false;false;true;false;null;0.2013;0.0;5.5914;0.0;8.4479;0.0;0.09090000000000001;0.0;75089.66
ClusterART;Not needed;1;false;true;false;true;false;false;null;0.1534;0.0;1.2382;0.0;2.5667;0.0;0.1826;0.0;26943.17
ClusterART;Not needed;1;false;true;false;true;false;false;OneAncestor;0.1651;0.0;1.3932;0.0;2.6128;0.0;0.155;0.0;12808.65
ClusterART;Not needed;1;false;true;false;true;false;false;Shotgun;0.3705;0.0;12.3983;0.0;25.1066;0.0;0.0425;0.0;41417.92
ClusterART;Not needed;1;false;true;false;true;false;true;null;0.1537;0.0;1.3;0.0;2.5613;0.0;0.1516;0.0;13142.52
ClusterART;Not needed;1;false;true;false;true;false;true;OneAncestor;0.16;0.0;1.4445000000000001;0.0;2.5469;0.0;0.1749;0.0;11524.57
ClusterART;Not needed;1;false;true;false;true;false;true;Shotgun;0.2841;0.0;12.650300000000001;0.0;25.7297;0.0;0.0342;0.0;29435.33
ClusterART;Not needed;1;false;true;false;true;true;false;null;0.2024;0.0;6.2408;0.0;8.6495;0.0;-0.0037;0.0;63133.49
ClusterART;Not needed;1;false;true;false;true;true;false;OneAncestor;0.2073;0.0;7.7137;0.0;11.413;0.0;-0.0264;0.0;69560.52
ClusterART;Not needed;1;false;true;false;true;true;false;Shotgun;0.22440000000000002;0.0;41.3992;0.0;76.3048;0.0;0.0021000000000000003;0.0;30665.76
ClusterART;Not needed;1;false;true;false;true;true;true;null;0.1782;0.0;6.852200000000001;0.0;9.6379;0.0;-0.008400000000000001;0.0;57752.51
ClusterART;Not needed;1;false;true;false;true;true;true;OneAncestor;0.2056;0.0;6.6966;0.0;10.089;0.0;0.058;0.0;66371.15
ClusterART;Not needed;1;false;true;false;true;true;true;Shotgun;0.2921;0.0;64.262;0.0;112.4432;0.0;-0.0304;0.0;28413.87
ClusterART;Not needed;1;false;true;true;false;false;false;null;0.14700000000000002;0.0;1.0438;0.0;2.6099;0.0;0.275;0.0;22868.69
ClusterART;Not needed;1;false;true;true;false;true;false;null;0.14700000000000002;0.0;1.0438;0.0;2.6099;0.0;0.275;0.0;21576.68
ClusterART;Not needed;1;false;true;true;true;false;false;null;0.1534;0.0;1.2474;0.0;2.5897;0.0;0.1825;0.0;18468.53
ClusterART;Not needed;1;false;true;true;true;false;false;OneAncestor;0.1651;0.0;1.393;0.0;2.6128;0.0;0.15510000000000002;0.0;11162.52
ClusterART;Not needed;1;false;true;true;true;false;false;Shotgun;0.3705;0.0;12.4376;0.0;25.195800000000002;0.0;0.0425;0.0;35805.65
ClusterART;Not needed;1;false;true;true;true;false;true;null;0.1537;0.0;1.2989000000000002;0.0;2.5613;0.0;0.1519;0.0;13808.68
ClusterART;Not needed;1;false;true;true;true;false;true;OneAncestor;0.16;0.0;1.4446;0.0;2.547;0.0;0.1749;0.0;11483.27
ClusterART;Not needed;1;false;true;true;true;false;true;Shotgun;0.2841;0.0;12.6837;0.0;25.8277;0.0;0.034;0.0;29020.12
ClusterART;Not needed;1;false;true;true;true;true;false;null;0.1534;0.0;1.2474;0.0;2.5897;0.0;0.1825;0.0;14904.39
ClusterART;Not needed;1;false;true;true;true;true;false;OneAncestor;0.1651;0.0;1.393;0.0;2.6128;0.0;0.15510000000000002;0.0;10772.55
ClusterART;Not needed;1;false;true;true;true;true;false;Shotgun;0.3705;0.0;12.4376;0.0;25.195800000000002;0.0;0.0425;0.0;33144.46
ClusterART;Not needed;1;false;true;true;true;true;true;null;0.1537;0.0;1.2989000000000002;0.0;2.5613;0.0;0.1519;0.0;13382.49
ClusterART;Not needed;1;false;true;true;true;true;true;OneAncestor;0.16;0.0;1.4446;0.0;2.547;0.0;0.1749;0.0;13458.0
ClusterART;Not needed;1;false;true;true;true;true;true;Shotgun;0.2841;0.0;12.6837;0.0;25.8277;0.0;0.034;0.0;30964.4
ClusterART;Not needed;1;true;false;false;false;false;false;null;0.15810000000000002;0.0;10.06;0.0;15.5991;0.0;0.0799;0.0;17703.05
ClusterART;Not needed;1;true;false;false;false;true;false;null;0.21200000000000002;0.0;36.7427;0.0;46.7093;0.0;-0.08850000000000001;0.0;83291.9
ClusterART;Not needed;1;true;false;false;true;false;false;null;0.17370000000000002;0.0;11.0082;0.0;15.0265;0.0;0.07;0.0;15442.1
ClusterART;Not needed;1;true;false;false;true;false;false;OneAncestor;0.15280000000000002;0.0;9.314400000000001;0.0;12.7688;0.0;0.10640000000000001;0.0;12302.35
ClusterART;Not needed;1;true;false;false;true;false;false;Shotgun;0.34990000000000004;0.0;15.900500000000001;0.0;27.5101;0.0;-0.029;0.0;24960.66
ClusterART;Not needed;1;true;false;false;true;false;true;null;0.1713;0.0;9.2333;0.0;13.7035;0.0;0.0961;0.0;16260.1
ClusterART;Not needed;1;true;false;false;true;false;true;OneAncestor;0.1666;0.0;8.9906;0.0;13.1021;0.0;0.09000000000000001;0.0;15337.29
ClusterART;Not needed;1;true;false;false;true;false;true;Shotgun;0.2227;0.0;13.5198;0.0;27.9509;0.0;0.0218;0.0;42181.16
ClusterART;Not needed;1;true;false;false;true;true;false;null;0.1826;0.0;32.2168;0.0;40.1936;0.0;-0.0223;0.0;68464.41
ClusterART;Not needed;1;true;false;false;true;true;false;OneAncestor;0.2025;0.0;31.7142;0.0;44.687200000000004;0.0;-0.018500000000000003;0.0;64877.02
ClusterART;Not needed;1;true;false;false;true;true;false;Shotgun;0.23040000000000002;0.0;12.1347;0.0;26.1613;0.0;-0.016300000000000002;0.0;30892.86
ClusterART;Not needed;1;true;false;false;true;true;true;null;0.23170000000000002;0.0;32.481100000000005;0.0;40.9219;0.0;-0.0385;0.0;64292.74
ClusterART;Not needed;1;true;false;false;true;true;true;OneAncestor;0.2575;0.0;32.5854;0.0;40.316900000000004;0.0;-0.0522;0.0;62921.84
ClusterART;Not needed;1;true;false;false;true;true;true;Shotgun;0.2432;0.0;15.4938;0.0;28.9221;0.0;-0.0028;0.0;31836.95
ClusterART;Not needed;1;true;false;true;false;false;false;null;0.1763;0.0;10.199;0.0;15.5274;0.0;0.10600000000000001;0.0;20503.53
ClusterART;Not needed;1;true;false;true;false;true;false;null;0.1763;0.0;10.199;0.0;15.5274;0.0;0.10600000000000001;0.0;25638.3
ClusterART;Not needed;1;true;false;true;true;false;false;null;0.17500000000000002;0.0;11.1059;0.0;15.0213;0.0;0.061900000000000004;0.0;17659.99
ClusterART;Not needed;1;true;false;true;true;false;false;OneAncestor;0.1534;0.0;9.31;0.0;12.752;0.0;0.1053;0.0;11761.89
ClusterART;Not needed;1;true;false;true;true;false;false;Shotgun;0.34990000000000004;0.0;15.845;0.0;27.43;0.0;-0.0286;0.0;21958.9
ClusterART;Not needed;1;true;false;true;true;false;true;null;0.1713;0.0;9.228100000000001;0.0;13.6981;0.0;0.09620000000000001;0.0;14801.88
ClusterART;Not needed;1;true;false;true;true;false;true;OneAncestor;0.1666;0.0;8.9841;0.0;13.095500000000001;0.0;0.0901;0.0;12706.47
ClusterART;Not needed;1;true;false;true;true;false;true;Shotgun;0.2227;0.0;13.456100000000001;0.0;27.8471;0.0;0.022600000000000002;0.0;41934.13
ClusterART;Not needed;1;true;false;true;true;true;false;null;0.17500000000000002;0.0;11.1059;0.0;15.0213;0.0;0.061900000000000004;0.0;16086.44
ClusterART;Not needed;1;true;false;true;true;true;false;OneAncestor;0.1534;0.0;9.31;0.0;12.752;0.0;0.1053;0.0;12089.52
ClusterART;Not needed;1;true;false;true;true;true;false;Shotgun;0.34990000000000004;0.0;15.845;0.0;27.43;0.0;-0.0286;0.0;26296.75
ClusterART;Not needed;1;true;false;true;true;true;true;null;0.1713;0.0;9.228100000000001;0.0;13.6981;0.0;0.09620000000000001;0.0;15097.26
ClusterART;Not needed;1;true;false;true;true;true;true;OneAncestor;0.1666;0.0;8.9841;0.0;13.095500000000001;0.0;0.0901;0.0;15723.46
ClusterART;Not needed;1;true;false;true;true;true;true;Shotgun;0.2227;0.0;13.456100000000001;0.0;27.8471;0.0;0.022600000000000002;0.0;38489.49
ClusterART;Not needed;1;true;true;false;false;false;false;null;0.1428;0.0;5.7071000000000005;0.0;14.295900000000001;0.0;0.2535;0.0;19887.38
ClusterART;Not needed;1;true;true;false;false;true;false;null;0.2013;0.0;26.5285;0.0;39.2464;0.0;0.0737;0.0;87771.27
ClusterART;Not needed;1;true;true;false;true;false;false;null;0.1534;0.0;6.4286;0.0;13.130500000000001;0.0;0.1632;0.0;16732.55
ClusterART;Not needed;1;true;true;false;true;false;false;OneAncestor;0.1651;0.0;6.623200000000001;0.0;12.1369;0.0;0.1236;0.0;10556.02
ClusterART;Not needed;1;true;true;false;true;false;false;Shotgun;0.3705;0.0;11.587800000000001;0.0;23.565900000000003;0.0;0.0471;0.0;32998.93
ClusterART;Not needed;1;true;true;false;true;false;true;null;0.1537;0.0;6.4848;0.0;12.673300000000001;0.0;0.1411;0.0;14893.67
ClusterART;Not needed;1;true;true;false;true;false;true;OneAncestor;0.16;0.0;7.0091;0.0;11.961300000000001;0.0;0.1517;0.0;11551.35
