ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Interpreted;Lemmatized;Source;Synonyms;GermaNetFunction;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;1;false;false;false;false;false;false;null;0.5189;0.0;2.075;0.0;3.2289000000000003;0.0;0.1661;0.0;9331.82
KMeans1520;EuclideanDistance;1;true;false;false;true;true;false;null;0.4859;0.0376;12.3556;2.2150000000000003;44.3136;5.6717;0.382;0.0746;187.92
ClusterART;Not needed;1;false;false;false;false;true;false;null;0.4429;0.0;9.164200000000001;0.0;10.991;0.0;-0.048;0.0;28224.76
KMeans1520;EuclideanDistance;1;true;false;false;true;true;false;OneAncestor;0.48040000000000005;0.037700000000000004;12.4901;2.0536000000000003;43.3517;5.7066;0.38980000000000004;0.0782;224.73
ClusterART;Not needed;1;false;false;false;true;false;false;null;0.49870000000000003;0.0;2.1267;0.0;3.3224;0.0;0.1394;0.0;7783.2
KMeans1520;EuclideanDistance;1;true;false;false;true;true;false;Shotgun;0.3922;0.019200000000000002;31.308300000000003;3.4321;144.7716;21.3857;0.27080000000000004;0.063;848.26
ClusterART;Not needed;1;false;false;false;true;false;false;OneAncestor;0.5118;0.0;2.22;0.0;3.1772;0.0;0.1283;0.0;6349.32
KMeans1520;EuclideanDistance;1;true;false;false;true;true;true;null;0.4844;0.0396;12.364700000000001;2.1794000000000002;43.2657;5.3943;0.3816;0.07350000000000001;215.41
ClusterART;Not needed;1;false;false;false;true;false;false;Shotgun;0.4919;0.0;19.2712;0.0;36.6107;0.0;0.0076;0.0;18390.37
KMeans1520;EuclideanDistance;1;true;false;false;true;true;true;OneAncestor;0.4822;0.0388;12.322700000000001;2.3374;42.4069;5.751600000000001;0.38530000000000003;0.0719;225.61
ClusterART;Not needed;1;false;false;false;true;false;true;null;0.4665;0.0;2.1146000000000003;0.0;3.3363;0.0;0.136;0.0;9318.38
KMeans1520;EuclideanDistance;1;true;false;false;true;true;true;Shotgun;0.3937;0.024800000000000003;32.3405;3.6593;110.5271;17.561600000000002;0.2736;0.06860000000000001;883.28
ClusterART;Not needed;1;false;false;false;true;false;true;OneAncestor;0.46640000000000004;0.0;2.2640000000000002;0.0;3.2830000000000004;0.0;0.1531;0.0;8328.76
KMeans1520;EuclideanDistance;1;true;false;true;false;false;false;null;0.45690000000000003;0.0263;7.2923;1.7609000000000001;16.723100000000002;2.2666;0.1807;0.0694;122.43
ClusterART;Not needed;1;false;false;false;true;false;true;Shotgun;0.4035;0.0;18.0701;0.0;29.2572;0.0;0.0313;0.0;15966.68
KMeans1520;EuclideanDistance;1;true;false;true;false;true;false;null;0.457;0.0263;6.3683000000000005;2.0538000000000003;15.7132;2.4283;0.1948;0.0732;126.78
ClusterART;Not needed;1;false;false;false;true;true;false;null;0.5025000000000001;0.0;10.0929;0.0;12.974;0.0;-0.0688;0.0;22032.28
KMeans1520;EuclideanDistance;1;true;false;true;true;false;false;null;0.45180000000000003;0.0269;5.8646;1.6476000000000002;14.7088;1.8206;0.2059;0.0733;119.63
KMeans1520;EuclideanDistance;1;true;false;true;true;false;false;OneAncestor;0.4499;0.0316;6.250100000000001;1.5358;14.5752;1.9529;0.2034;0.0687;101.79
ClusterART;Not needed;1;false;false;false;true;true;false;OneAncestor;0.5073;0.0;9.1785;0.0;11.989500000000001;0.0;0.0038;0.0;20917.74
KMeans1520;EuclideanDistance;1;true;false;true;true;false;false;Shotgun;0.39540000000000003;0.0461;18.4523;2.9416;38.7673;6.7771;0.13340000000000002;0.061500000000000006;306.22
ClusterART;Not needed;1;false;false;false;true;true;false;Shotgun;0.5414;0.0;122.2018;0.0;203.98100000000002;0.0;0.046900000000000004;0.0;25493.07
KMeans1520;EuclideanDistance;1;true;false;true;true;false;true;null;0.4544;0.0287;5.864;1.6644;14.373700000000001;1.8123;0.2018;0.0737;111.38
ClusterART;Not needed;1;false;false;false;true;true;true;null;0.5314;0.0;9.185;0.0;13.528400000000001;0.0;0.008400000000000001;0.0;21928.37
KMeans1520;EuclideanDistance;1;true;false;true;true;false;true;OneAncestor;0.4565;0.0304;6.0684000000000005;1.5906;14.418700000000001;1.8032000000000001;0.20750000000000002;0.0673;95.53
ClusterART;Not needed;1;false;false;false;true;true;true;OneAncestor;0.5196000000000001;0.0;9.5931;0.0;14.3428;0.0;0.0016;0.0;16866.25
KMeans1520;EuclideanDistance;1;true;false;true;true;false;true;Shotgun;0.32830000000000004;0.033100000000000004;19.0207;4.7858;40.083;8.726;0.1328;0.0799;232.71
ClusterART;Not needed;1;false;false;false;true;true;true;Shotgun;0.5458000000000001;0.0;91.9653;0.0;176.8658;0.0;0.06670000000000001;0.0;26038.9
KMeans1520;EuclideanDistance;1;true;false;true;true;true;false;null;0.451;0.0292;6.1417;1.4934;14.763;1.8022;0.2043;0.0714;122.51
ClusterART;Not needed;1;false;false;true;false;false;false;null;0.5222;0.0;2.7333000000000003;0.0;3.7178;0.0;0.1082;0.0;9376.53
KMeans1520;EuclideanDistance;1;true;false;true;true;true;false;OneAncestor;0.45420000000000005;0.0349;6.4819;1.4192;14.6026;1.9389;0.1956;0.0702;99.26
ClusterART;Not needed;1;false;false;true;false;true;false;null;0.5189;0.0;2.0752;0.0;3.2291000000000003;0.0;0.1661;0.0;8781.9
KMeans1520;EuclideanDistance;1;true;false;true;true;true;false;Shotgun;0.3937;0.047400000000000005;18.4469;2.9453;38.762;6.781700000000001;0.1335;0.061500000000000006;258.33
ClusterART;Not needed;1;false;false;true;true;false;false;null;0.4974;0.0;2.4864;0.0;3.4435000000000002;0.0;0.1716;0.0;9282.8
KMeans1520;EuclideanDistance;1;true;false;true;true;true;true;null;0.45480000000000004;0.031400000000000004;6.1229000000000005;1.5726;14.458200000000001;1.8755000000000002;0.19940000000000002;0.0745;120.6
ClusterART;Not needed;1;false;false;true;true;false;false;OneAncestor;0.516;0.0;2.3654;0.0;3.3938;0.0;0.18460000000000001;0.0;8371.15
KMeans1520;EuclideanDistance;1;true;false;true;true;true;true;OneAncestor;0.4571;0.0349;6.2904;1.5407000000000002;14.4861;1.8624;0.20020000000000002;0.06810000000000001;127.27
ClusterART;Not needed;1;false;false;true;true;false;false;Shotgun;0.4878;0.0;18.46;0.0;35.855000000000004;0.0;0.0516;0.0;17904.15
KMeans1520;EuclideanDistance;1;true;false;true;true;true;true;Shotgun;0.3254;0.030000000000000002;19.03;4.7515;40.0707;8.7162;0.1332;0.08;265.21
ClusterART;Not needed;1;false;false;true;true;false;true;null;0.4848;0.0;2.3245;0.0;3.4587000000000003;0.0;0.1534;0.0;7406.81
KMeans1520;EuclideanDistance;1;true;true;false;false;false;false;null;0.4554;0.0261;5.310700000000001;1.3171000000000002;14.635100000000001;1.6253;0.1837;0.0795;65.73
ClusterART;Not needed;1;false;false;true;true;false;true;OneAncestor;0.4844;0.0;2.4765;0.0;3.41;0.0;0.17250000000000001;0.0;6731.09
KMeans1520;EuclideanDistance;1;true;true;false;false;true;false;null;0.45880000000000004;0.043500000000000004;11.0428;1.933;37.0587;5.1812000000000005;0.34790000000000004;0.07730000000000001;182.86
ClusterART;Not needed;1;false;false;true;true;false;true;Shotgun;0.40040000000000003;0.0;18.2327;0.0;29.1479;0.0;-0.019;0.0;15329.74
KMeans1520;EuclideanDistance;1;true;true;false;true;false;false;null;0.45170000000000005;0.0275;5.5326;1.2890000000000001;14.4192;1.4545000000000001;0.191;0.07730000000000001;106.04
ClusterART;Not needed;1;false;false;true;true;true;false;null;0.49870000000000003;0.0;2.1271;0.0;3.3227;0.0;0.1393;0.0;7441.99
KMeans1520;EuclideanDistance;1;true;true;false;true;false;false;OneAncestor;0.452;0.0332;5.9716000000000005;1.3615000000000002;14.6783;1.7402000000000002;0.17900000000000002;0.079;84.72
ClusterART;Not needed;1;false;false;true;true;true;false;OneAncestor;0.5118;0.0;2.22;0.0;3.1772;0.0;0.1283;0.0;6067.59
KMeans1520;EuclideanDistance;1;true;true;false;true;false;false;Shotgun;0.3385;0.0414;17.782;3.3434000000000004;44.449200000000005;11.9108;0.1787;0.058300000000000005;358.11
ClusterART;Not needed;1;false;false;true;true;true;false;Shotgun;0.4919;0.0;19.3538;0.0;36.825900000000004;0.0;0.0073;0.0;21106.52
KMeans1520;EuclideanDistance;1;true;true;false;true;false;true;null;0.4519;0.0287;5.6075;1.3406;14.2981;1.5686;0.18810000000000002;0.07780000000000001;91.08
ClusterART;Not needed;1;false;false;true;true;true;true;null;0.4665;0.0;2.1146000000000003;0.0;3.3364000000000003;0.0;0.136;0.0;6779.48
KMeans1520;EuclideanDistance;1;true;true;false;true;false;true;OneAncestor;0.4529;0.0333;5.8672;1.2585;14.4449;1.5670000000000002;0.1867;0.07980000000000001;72.24
ClusterART;Not needed;1;false;false;true;true;true;true;OneAncestor;0.46640000000000004;0.0;2.2640000000000002;0.0;3.2831;0.0;0.1531;0.0;7314.03
KMeans1520;EuclideanDistance;1;true;true;false;true;false;true;Shotgun;0.3236;0.019100000000000002;17.003600000000002;3.0562;44.7689;10.1586;0.18710000000000002;0.06670000000000001;430.08
ClusterART;Not needed;1;false;false;true;true;true;true;Shotgun;0.403;0.0;18.2013;0.0;28.2729;0.0;0.003;0.0;19793.94
KMeans1520;EuclideanDistance;1;true;true;false;true;true;false;null;0.4632;0.0374;11.1727;1.8328;37.472;5.1866;0.3665;0.0714;159.91
ClusterART;Not needed;1;false;true;false;false;false;false;null;0.46240000000000003;0.0;1.0487;0.0;2.6154;0.0;0.11860000000000001;0.0;8389.92
KMeans1520;EuclideanDistance;1;true;true;false;true;true;false;OneAncestor;0.4702;0.038900000000000004;11.3115;1.9947000000000001;37.8562;4.8719;0.376;0.0726;192.87
ClusterART;Not needed;1;false;true;false;false;true;false;null;0.5409;0.0;4.2318;0.0;7.46;0.0;0.1602;0.0;21868.05
KMeans1520;EuclideanDistance;1;true;true;false;true;true;false;Shotgun;0.3876;0.019200000000000002;31.6411;3.7037;155.5421;23.111;0.2851;0.0585;814.66
ClusterART;Not needed;1;false;true;false;true;false;false;null;0.4602;0.0;1.1022;0.0;2.5834;0.0;0.09730000000000001;0.0;7821.67
KMeans1520;EuclideanDistance;1;true;true;false;true;true;true;null;0.4651;0.0407;11.065900000000001;1.9773;37.9371;5.6612;0.3745;0.0688;151.11
ClusterART;Not needed;1;false;true;false;true;false;false;OneAncestor;0.4968;0.0;1.2185000000000001;0.0;2.4348;0.0;0.09280000000000001;0.0;5867.15
KMeans1520;EuclideanDistance;1;true;true;false;true;true;true;OneAncestor;0.4635;0.0373;11.0981;1.8966;37.822900000000004;5.562600000000001;0.3754;0.0695;193.37
ClusterART;Not needed;1;false;true;false;true;false;false;Shotgun;0.4294;0.0;12.4574;0.0;24.0885;0.0;0.0529;0.0;15679.01
KMeans1520;EuclideanDistance;1;true;true;false;true;true;true;Shotgun;0.39280000000000004;0.024300000000000002;31.2577;3.5282;109.8314;17.0888;0.2808;0.0713;819.11
ClusterART;Not needed;1;false;true;false;true;false;true;null;0.462;0.0;1.095;0.0;2.5819;0.0;0.0994;0.0;7259.76
KMeans1520;EuclideanDistance;1;true;true;true;false;false;false;null;0.45930000000000004;0.030600000000000002;5.3420000000000005;1.3906;14.035300000000001;1.741;0.20320000000000002;0.0678;125.44
ClusterART;Not needed;1;false;true;false;true;false;true;OneAncestor;0.4632;0.0;1.1215000000000002;0.0;2.5948;0.0;0.092;0.0;6873.37
KMeans1520;EuclideanDistance;1;true;true;true;false;true;false;null;0.4575;0.0309;5.4546;1.3424;14.0159;1.7447000000000001;0.19890000000000002;0.07250000000000001;143.37
ClusterART;Not needed;1;false;true;false;true;false;true;Shotgun;0.45640000000000003;0.0;13.9161;0.0;27.4109;0.0;0.0708;0.0;17403.8
KMeans1520;EuclideanDistance;1;true;true;true;true;false;false;null;0.456;0.032;5.4272;1.4591;13.8057;1.6985000000000001;0.21430000000000002;0.07490000000000001;124.31
ClusterART;Not needed;1;false;true;false;true;true;false;null;0.6379;0.0;3.9323;0.0;6.6699;0.0;0.14500000000000002;0.0;24078.82
KMeans1520;EuclideanDistance;1;true;true;true;true;false;false;OneAncestor;0.45280000000000004;0.034;5.8369;1.4951;13.6978;1.8738000000000001;0.20400000000000001;0.0708;120.14
ClusterART;Not needed;1;false;true;false;true;true;false;OneAncestor;0.5838;0.0;5.73;0.0;8.3155;0.0;0.08220000000000001;0.0;16029.94
