ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Interpreted;Lemmatized;Source;Synonyms;GermaNetFunction;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;1;false;false;false;false;false;false;null;0.4717;0.0;2.5146;0.0;3.7908000000000004;0.0;0.1961;0.0;6692.71
ClusterART;Not needed;1;false;false;false;false;true;false;null;0.4788;0.0;3.0533;0.0;4.4087000000000005;0.0;0.1695;0.0;5306.45
ClusterART;Not needed;1;false;false;false;true;false;false;null;0.4879;0.0;2.72;0.0;3.7773000000000003;0.0;0.1683;0.0;7656.29
ClusterART;Not needed;1;false;false;false;true;false;false;OneAncestor;0.5181;0.0;2.7905;0.0;3.6888;0.0;0.1573;0.0;2778.67
ClusterART;Not needed;1;false;false;false;true;false;false;Shotgun;0.41950000000000004;0.0;29.4019;0.0;54.1533;0.0;-0.0726;0.0;9783.48
ClusterART;Not needed;1;false;false;false;true;false;true;null;0.5073;0.0;2.8702;0.0;3.6673;0.0;0.12840000000000001;0.0;3031.22
ClusterART;Not needed;1;false;false;false;true;false;true;OneAncestor;0.5091;0.0;2.6589;0.0;3.5535;0.0;0.1502;0.0;2976.91
ClusterART;Not needed;1;false;false;false;true;false;true;Shotgun;0.45530000000000004;0.0;15.605300000000002;0.0;31.292;0.0;-0.0142;0.0;7981.66
ClusterART;Not needed;1;false;false;false;true;true;false;null;0.48050000000000004;0.0;2.8015000000000003;0.0;3.8523;0.0;0.1602;0.0;6825.6
ClusterART;Not needed;1;false;false;false;true;true;false;OneAncestor;0.5116;0.0;2.8993;0.0;3.7889000000000004;0.0;0.139;0.0;3332.86
ClusterART;Not needed;1;false;false;false;true;true;false;Shotgun;0.4273;0.0;37.9906;0.0;65.0748;0.0;-0.091;0.0;7503.91
ClusterART;Not needed;1;false;false;false;true;true;true;null;0.5251;0.0;3.1068000000000002;0.0;4.4569;0.0;0.1316;0.0;3310.54
ClusterART;Not needed;1;false;false;false;true;true;true;OneAncestor;0.5048;0.0;2.77;0.0;3.6728;0.0;0.13920000000000002;0.0;3039.87
ClusterART;Not needed;1;false;false;false;true;true;true;Shotgun;0.45170000000000005;0.0;17.7134;0.0;33.4682;0.0;-0.028;0.0;6824.97
