ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Interpreted;Lemmatized;Source;Synonyms;GermaNetFunction;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;1;false;false;false;false;false;false;null;0.28300000000000003;0.0;3.3248;0.0;3.8183000000000002;0.0;0.1143;0.0;1557.32
KMeans820;EuclideanDistance;1;true;false;false;true;true;false;null;0.2506;0.0325;14.6834;5.5802000000000005;60.052800000000005;14.841000000000001;0.37010000000000004;0.1242;89.64
ClusterART;Not needed;1;false;false;false;false;true;false;null;0.2736;0.0;12.8413;0.0;13.700700000000001;0.0;-0.068;0.0;11420.9
KMeans820;EuclideanDistance;1;true;false;false;true;true;false;OneAncestor;0.2538;0.0316;16.6678;6.1814;63.494800000000005;13.372300000000001;0.3775;0.1296;96.34
ClusterART;Not needed;1;false;false;false;true;false;false;null;0.26530000000000004;0.0;2.7199;0.0;3.325;0.0;0.17270000000000002;0.0;1727.98
KMeans820;EuclideanDistance;1;true;false;false;true;true;false;Shotgun;0.41540000000000005;0.0126;67.54780000000001;4.9285000000000005;161.4119;34.8708;0.20550000000000002;0.09340000000000001;311.26
ClusterART;Not needed;1;false;false;false;true;false;false;OneAncestor;0.2518;0.0;2.7783;0.0;3.1337;0.0;0.1366;0.0;1598.65
KMeans820;EuclideanDistance;1;true;false;false;true;true;true;null;0.2484;0.031;15.071200000000001;5.760000000000001;61.5814;15.3962;0.3715;0.1283;76.08
ClusterART;Not needed;1;false;false;false;true;false;false;Shotgun;0.3673;0.0;29.645500000000002;0.0;45.436;0.0;-0.042300000000000004;0.0;6982.67
KMeans820;EuclideanDistance;1;true;false;false;true;true;true;OneAncestor;0.24780000000000002;0.030500000000000003;15.857600000000001;5.9069;62.9756;15.004700000000001;0.3729;0.14150000000000001;94.36
ClusterART;Not needed;1;false;false;false;true;false;true;null;0.266;0.0;2.9736000000000002;0.0;3.3766000000000003;0.0;0.16620000000000001;0.0;1346.7
KMeans820;EuclideanDistance;1;true;false;false;true;true;true;Shotgun;0.3895;0.0324;65.2765;5.7540000000000004;256.9493;8.3255;0.3078;0.06280000000000001;384.29
ClusterART;Not needed;1;false;false;false;true;false;true;OneAncestor;0.2538;0.0;3.0635000000000003;0.0;3.4632;0.0;0.11270000000000001;0.0;884.49
KMeans820;EuclideanDistance;1;true;false;true;false;false;false;null;0.2535;0.0449;7.0389;2.0978;15.907900000000001;2.4301;0.2257;0.0911;40.63
ClusterART;Not needed;1;false;false;false;true;false;true;Shotgun;0.2732;0.0;31.633000000000003;0.0;40.5195;0.0;-0.1338;0.0;7731.14
KMeans820;EuclideanDistance;1;true;false;true;false;true;false;null;0.2535;0.0449;7.0389;2.0978;15.907900000000001;2.4301;0.2257;0.0911;33.38
ClusterART;Not needed;1;false;false;false;true;true;false;null;0.2736;0.0;13.815000000000001;0.0;13.9588;0.0;-0.1421;0.0;8716.7
KMeans820;EuclideanDistance;1;true;false;true;true;false;false;null;0.2619;0.0553;6.8437;2.1116;15.1918;2.3094;0.219;0.09190000000000001;21.73
KMeans820;EuclideanDistance;1;true;false;true;true;false;false;OneAncestor;0.2715;0.0567;7.214700000000001;2.3028;14.590800000000002;2.1958;0.2083;0.0918;21.15
ClusterART;Not needed;1;false;false;false;true;true;false;OneAncestor;0.28;0.0;11.6134;0.0;11.2704;0.0;-0.0468;0.0;9317.38
KMeans820;EuclideanDistance;1;true;false;true;true;false;false;Shotgun;0.3664;0.025900000000000003;24.0471;4.2193000000000005;43.5621;10.1765;0.1292;0.061900000000000004;80.57
ClusterART;Not needed;1;false;false;false;true;true;false;Shotgun;0.45330000000000004;0.0;118.12660000000001;0.0;170.08710000000002;0.0;-0.0426;0.0;9621.21
KMeans820;EuclideanDistance;1;true;false;true;true;false;true;null;0.26230000000000003;0.0529;6.845400000000001;2.1027;14.7712;2.2483;0.2218;0.0902;19.35
ClusterART;Not needed;1;false;false;false;true;true;true;null;0.313;0.0;13.6205;0.0;14.623700000000001;0.0;-0.0555;0.0;6554.54
KMeans820;EuclideanDistance;1;true;false;true;true;false;true;OneAncestor;0.2664;0.053700000000000005;6.991300000000001;2.1477;14.657300000000001;2.1941;0.2195;0.0903;23.59
ClusterART;Not needed;1;false;false;false;true;true;true;OneAncestor;0.41490000000000005;0.0;12.350000000000001;0.0;11.9776;0.0;-0.028300000000000002;0.0;14726.54
KMeans820;EuclideanDistance;1;true;false;true;true;false;true;Shotgun;0.3527;0.025900000000000003;24.6325;4.7685;41.692;8.7362;0.1153;0.0896;88.98
ClusterART;Not needed;1;false;false;false;true;true;true;Shotgun;0.4405;0.0;103.4004;0.0;138.00650000000002;0.0;-0.0641;0.0;13422.76
KMeans820;EuclideanDistance;1;true;false;true;true;true;false;null;0.2619;0.0553;6.8437;2.1116;15.1918;2.3094;0.219;0.09190000000000001;25.22
ClusterART;Not needed;1;false;false;true;false;false;false;null;0.28750000000000003;0.0;3.2851000000000004;0.0;3.7492;0.0;0.1159;0.0;1649.52
KMeans820;EuclideanDistance;1;true;false;true;true;true;false;OneAncestor;0.2726;0.0574;7.2323;2.2819000000000003;14.601600000000001;2.1896;0.2097;0.0911;23.89
ClusterART;Not needed;1;false;false;true;false;true;false;null;0.28750000000000003;0.0;3.2851000000000004;0.0;3.7492;0.0;0.1159;0.0;1799.2
KMeans820;EuclideanDistance;1;true;false;true;true;true;false;Shotgun;0.3663;0.026000000000000002;24.1357;4.3234;43.6449;10.2105;0.1285;0.062;85.37
ClusterART;Not needed;1;false;false;true;true;false;false;null;0.2625;0.0;2.6664000000000003;0.0;3.2185;0.0;0.1756;0.0;2099.21
KMeans820;EuclideanDistance;1;true;false;true;true;true;true;null;0.26230000000000003;0.0529;6.845400000000001;2.1027;14.7712;2.2483;0.2218;0.0902;20.52
ClusterART;Not needed;1;false;false;true;true;false;false;OneAncestor;0.2518;0.0;2.7783;0.0;3.1338000000000004;0.0;0.1366;0.0;901.4
KMeans820;EuclideanDistance;1;true;false;true;true;true;true;OneAncestor;0.2666;0.0536;6.982200000000001;2.1485000000000003;14.5983;2.1454;0.22030000000000002;0.0916;15.49
ClusterART;Not needed;1;false;false;true;true;false;false;Shotgun;0.3673;0.0;29.7737;0.0;45.6586;0.0;-0.0424;0.0;5843.77
KMeans820;EuclideanDistance;1;true;false;true;true;true;true;Shotgun;0.3527;0.025900000000000003;24.6325;4.7685;41.692;8.7362;0.1153;0.0896;90.65
ClusterART;Not needed;1;false;false;true;true;false;true;null;0.268;0.0;2.8328;0.0;3.3292;0.0;0.1762;0.0;1107.23
KMeans820;EuclideanDistance;1;true;true;false;false;false;false;null;0.2558;0.0426;6.1595;1.9102000000000001;15.607800000000001;2.045;0.2306;0.09380000000000001;17.47
ClusterART;Not needed;1;false;false;true;true;false;true;OneAncestor;0.2538;0.0;3.0636;0.0;3.4633000000000003;0.0;0.11270000000000001;0.0;944.79
KMeans820;EuclideanDistance;1;true;true;false;false;true;false;null;0.24810000000000001;0.029900000000000003;13.6582;5.3687000000000005;54.689800000000005;14.106300000000001;0.3498;0.1307;95.7
ClusterART;Not needed;1;false;false;true;true;false;true;Shotgun;0.2732;0.0;31.675700000000003;0.0;40.614000000000004;0.0;-0.1341;0.0;7759.02
KMeans820;EuclideanDistance;1;true;true;false;true;false;false;null;0.2585;0.0403;6.1909;1.9560000000000002;15.2218;1.9912;0.2358;0.0966;26.13
ClusterART;Not needed;1;false;false;true;true;true;false;null;0.2625;0.0;2.6664000000000003;0.0;3.2185;0.0;0.1756;0.0;1310.18
KMeans820;EuclideanDistance;1;true;true;false;true;false;false;OneAncestor;0.2721;0.0436;6.636;1.9826000000000001;14.780000000000001;1.9540000000000002;0.2225;0.0877;16.69
ClusterART;Not needed;1;false;false;true;true;true;false;OneAncestor;0.2518;0.0;2.7783;0.0;3.1338000000000004;0.0;0.1366;0.0;1496.11
KMeans820;EuclideanDistance;1;true;true;false;true;false;false;Shotgun;0.3569;0.0233;22.0395;3.6778;47.327600000000004;12.988100000000001;0.1762;0.0684;115.86
ClusterART;Not needed;1;false;false;true;true;true;false;Shotgun;0.3673;0.0;29.7737;0.0;45.6586;0.0;-0.0424;0.0;5542.9
KMeans820;EuclideanDistance;1;true;true;false;true;false;true;null;0.2619;0.0414;6.2066;1.8683;15.150500000000001;2.0007;0.23240000000000002;0.09190000000000001;16.82
ClusterART;Not needed;1;false;false;true;true;true;true;null;0.268;0.0;2.8328;0.0;3.3292;0.0;0.1762;0.0;1099.08
KMeans820;EuclideanDistance;1;true;true;false;true;false;true;OneAncestor;0.26330000000000003;0.039900000000000005;6.3514;1.9157000000000002;15.0022;1.9417000000000002;0.2363;0.08600000000000001;15.45
ClusterART;Not needed;1;false;false;true;true;true;true;OneAncestor;0.2538;0.0;3.0636;0.0;3.4633000000000003;0.0;0.11270000000000001;0.0;919.22
KMeans820;EuclideanDistance;1;true;true;false;true;false;true;Shotgun;0.333;0.0261;21.151600000000002;2.4539;46.4225;8.255;0.2349;0.0625;115.26
